Name,Addresses,Emails,Phone,Fax,Director,Description,Hours of Operation,Type
Echad Apartments,"Dallas, TX, 75228-8400, 2620 Ruidosa Avenue",,(214) 321-2130,(214) 321-0207,,Elderly Communal Housing. Section 8 low-cost housing available for people over 60 and/or disabled,Normal Business Hours * Monday- Friday 8:00am - 4:30pm *Regular hours of operation are from the first Tuesday after Labor Day until the first Tuesday after Memorial Day. Extended Summer Hours** Monday- Thursday 8:00am - 5:30pm Friday 8:00am - noon ** Extended Summer hours are from the first Tuesday after Memorial Day until the first Tuesday after Labor Day
Exodus House,"Dallas, TX, 75204, 4630 Munger Ave, Suite #110",,214-827-3772,,Executive Director: Kristi Haithcock,"Exodus House is an aftercare facility for ex-offenders and their families. Residents stay up to 6 months in a fully furnished apartment, while they receive job placement counseling and assistance, Bible studies, budgeting, parenting and computer classes.",
Arlington Life Shelter,,,,,,"Emergency food and shelter, employment assistance and family counseling for homeless men, women and children in eastern Tarrant County",
Austin Street Center,"Dallas, TX, 75226, 2929 Hickory St.",shelterspk@austinst.org,214-428-4242,214-428-8158,,"Food, shelter, medical and psychological treatment, and substance-abuse counseling for the homeless for people 45 years of age and older",
"The Reverend ""Bubba"" Dailey †",,,,,Executive Director The Reverend Harry E. Dailey,,
The Bethlehem Foundation,"Dallas, TX, 75232, 1159 Camp Wisdom Rd.",,214-371-3407,,,"Emergency rent and utility assistance, advocacy, food, clothing, GED preparation, and job placement for Dallas-area residents",
*Hope Store,"Plano, TX",,972-422-7233,,,,
Interfaith Housing Coalition,"Dallas, Texas, 75206, 5600 Ross Ave.",,214-827-7220,,,"Food, clothing, shelter, transitional housing and job-placement services for homeless families; counseling, after-school and summer programs for homeless children",
*Salvation Army,,,214-424-7100,,,,
Oak Cliff Churches for Emergency Aid,"Dallas, TX, 75208, 534 W 10th St.",oakcliffchurchesaid@gmail.com,214-943-7757,,,"Emergency food, rent and utilities assistance for Oak Cliff residents",
Our Daily Bread,"Denton, TX, 76209, 909 N Loop 288",info@ourdailybreaddenton.org,(940) 566-1308,,,"Noonday meals, counseling, assistance in directing clients to agencies for help, phone answering service, mailing address for homeless in Denton County",
Southeast Dallas Emergency Food Center,"Dallas, TX, 75227, 6670 Military Parkway",,(214) 381-5239,(214) 381-5257,,Emergency food and clothing for the needy in southeast Dallas County,
The Stewpot,"Dallas, TX, 75226, 1610 S. Malcolm X Blvd.",info@thestewpot.org,214-746-2785,972-982-0813,,"Meals, counseling, dental and medical casework, job assistance, and inner-city youth programs for the homeless and at-risk",
The Vogel Alcove Childcare Center for the Homeless,"Dallas, Texas, 75215, 1738 Gano Street",,214-368-8686,214.368.0414,,"Childcare and social services to families living in domestic violence shelters, homeless shelters and transitional housing programs",
Voice of Hope Ministries,"Dallas, TX, 75212, 4120 Gentry Dr",info@voiceofhope.org,(214) 631-7027,,,"Emergency food, and financial assistance for rent and utilities",
White Rock Center of Hope,"Dallas, TX, 75218, 10021 Garland Rd.","[Executive Director] ted.beechler@whiterockcenterofhope.org, webmaster@whiterockcenterofhope.org","[Executive Director] 214.328.2978, [Client Services] 214 324.8996, [Resale Store] 214.324.2020",214.328.2948,Ted Beechler,"Food, clothing, assistance with rent, utilities, transportation and prescriptions; and school supplies for families in need",
The Wilkinson Center,"Dallas, TX, 75206, 5200 Bryan Street",,214-821-6380,214-827-1972,,"Emergency food pantry, career development training, basic computer courses, Safe Haven After School Program, and Texas ID card assistance for disadvantaged families as well as the homeless in East Dallas Munger Place United Methodist Church",
