Name,Phone,Addresses,Description,Links,Emails,Type
CCD Counseling Center of Farmers Branch,(972) 353-9404,"Dallas, TX, 75234, 2711 Lyndon B. Johnson Frwy, Suite 320",N/A,https://ccdcounseling.com/
Child and Family Guidance,214-351-3490,"Dallas, TX, 75235, 8915 Harry Hines Blvd",N/A,http://www.childrenandfamilies.org/
Counseling Institute of Texas,972-271-4300,"Garland, TX, 75043, 3200 Southern Dr, Suite 100",N/A,https://citexas.wordpress.com/
Dallas Children’s Advocacy Center,214-818-2600,"Dallas, TX, 75228, 5351 Samuell Blvd",N/A,http://www.dcac.org/
Galaxy Counseling Center,972-272-4429,"Garland, TX, 75042, 1025 S Jupiter Rd",N/A,https://www.galaxycounseling.org/
Grief and Loss Center of North Texas,214-452-3105,"Dallas, TX, 75214, 4316 Abrams Rd",N/A,http://mygriefandloss.org/
*Harmony Counseling Center,214-751-3932,"Dallas, TX, 75237, 6969 Pastor Bailey Dr, Suite [300]",N/A,http://harmonycdc.org/
*Mobile Counseling,214-542-5642,"Dallas, TX, 75202, 1412 Main St, Suite #612",N/A,http://www.mobilecounselingdallas.com/
New Directions Counseling Center,972-680-8986,"Richardson, TX, 75080, 1901 N Central Expwy, Ste 220",N/A,https://newdirectionscounseling.com/
New Friends New Life,214-965-0935,,"Specifically for female trauma survivors and their children",http://www.newfriendsnewlife.org/
Positive Influences of Dallas,469-227-7847,"Dallas, TX, 75247, 8828 N. Stemmons Fwy, Ste 225",N/A,http://positiveinfluences.org/
Richland Oaks Counseling Center,469-619-7622,"Richardson, TX, 75081, 1221 Abrams Rd, Ste 325",N/A,http://www.richlandoaks.org/
*Trauma Support Services of North Texas,972-709-4904,"Duncanville, TX, 75116, 219 S. Cedar Ridge Dr, #C-100",N/A,http://www.tssnt.org/
*Youth and Family Counseling,972-724-2005,"Denton, TX, , 1980 E. University Dr","(also have Lewisville office)",https://www.youthandfamilycounseling.org/
