Organization,Facility Type,Additional Info,Hotline Phone,City,State,Website
Salvation Army of Dallas Women's Shelter,DFW DV Shelter 🎗,Separate from Homeless 💙 Accepts Adult Trafficked,214-424-7208,Dallas,TX,salvationarmydfw.org/p/services/367
Women Called Moses,DFW DV Shelter,Emergency Temporary Hotel Stay,214-432-3017,S Dallas,TX,wcmcares.org
Safe Haven,DFW DV Shelter,,877-701-7233,Ft. Worth Arlington,TX,safehaventc.org
The Family Peace Project,Regional DV Shelter,♂ Serves Men Victims,903-677-9177,Athens,TX,
Forever Families,Regional DV Shelter,Emergency law enforcement hotline & long term shelter and transitional housing,903-498-1076,Kemp,TX,www.foreverfamiliesprogram.org
Family Crisis Center,Regional DV Shelter,♿ Wheelchair Accessible,800-848-3206,Cleburne,TX,familycrisisjc.org
Mission Granbury,Regional DV Shelter,♿ Wheelchair Accessible,817-579-6848,Granbury,TX,missiongranbury.org
Hope Inc.,Regional DV Shelter,♂ Serves Men Victims,940-325-1306,Mineral Wells,TX,
Wise Hope Shelter & Crisis Center,Regional DV Shelter 🎗,♂ Serves Men Victims ♿ Wheelchair Accessible,940-626-4855,Decatur,TX,wisehope.org
Graham Crisis Center,Regional DV Shelter,♿ Wheelchair Accessible,940-549-6002,Graham,TX,grahamcrisiscenter.org
Abigail's Arms,Regional DV Shelter 🎗,,940-665-2873,Gainesville,TX,abigailsarms.org
Grayson Crisis Center,Regional DV Shelter 🎗,,903-893-5615,Sherman,TX,graysoncrisiscenter.org
Women in Need,Regional DV Shelter,♿ Wheelchair Accessible,903-455-4612,Greenville,TX,
SAFE-T Crisis Center,Regional DV Shelter,Pet foster care,903-575-9999,Mt. Pleasant,TX,safe-tagency.com
East Texas Crisis Center,Regional DV Shelter,Only if from Smith & surrounding East TX counties,903-595-5591,Tyler,TX,etcc.org
Women’s Center of East Texas,Regional DV Shelter 🎗,,800-441-5555,Longview,TX,wc-et.org
Crisis Center of Anderson & Cherokee Counties,Regional DV Shelter,♿ Wheelchair Accessible,800-232-8519,Jacksonville & Palestine,TX,mycrisiscenter.com
Family Abuse Center,Regional DV Shelter,♂ Serves Men Victims ♿ Wheelchair Accessible,800-283-8401,Waco,TX,familyabusecenter.org
First Step,Regional DV Shelter,♂ Serves Men Victims ♿ Wheelchair Accessible,800-658-2683,Wichita Falls,TX,firststep.org
Taylor House,Out-of-State DV Shelter,♂ Men's Shelter,870-569-8024,Batesville,AR,batesvillefamilyviolence.com
