Collin County,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Piper Kiser,"Plano, TX","AGES 12+, Counseling for depression, anxiety, trauma, women's issues, substance abuse, sexual abuse, domestic violence, eating disorders, LGBT issues, PTSD, & caregiving for aging parents",Free introductory session; Fees discussed for following sessions (Some sliding-scale available),Main Office: 2105 W Spring Creek  Pkwy  Suite 350 #109 Plano Tx (214) 477-5410  www.piperkiser.com,,,
Family Focused Care,Prosper TX,,,221 North Preston Suite C Prosper Tx 75078,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Collin County,,,,,,,
SMU: Center for Family Counseling,"Plano, TX","ALL, individual, family, group, and bilingual counseling",Free intake; Low to no-cost sessions ($45 and below) Daytime & Evening appts. Available,"6116 N. Central Expressway, Suite 410 (214) 768-6789  www.smu.edu",,,
,,,,,,,
,,,,,,,
Refuge City ,"Richardson, TX","ALL, up to age 21 who have experienced human trafficking, no matter the gender or parental status. Free counseling, GED classes through Richardson ISD, Therapetuic Art, 12-step program","21 or older, Must have been traffickied and/or sexually exploited either currently or in the past",(214)-966-0703                   Email:                 refugecity@refuge-city.org,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dallas County,,,,,,,
,,,,,,,
Christian Works,"Dallas, TX"," ALL, individual, couples, & family counseling, play therapy, Spanish counseling","Sliding-scale $45-95 sessions, no insurance accepted",Dallas: 5440 Harvest Hill #140          Fort Worth: 2214 Hemphill St.    (800) 375-2229  www.christian-works.org,,,
,,,,,,,
Christian Works,"Dallas, TX","PREGNANT WOMEN OR COUPLES, free counseling available in English & Spanish",Free;                                                             Call (214) 952-7421,5440 Harvest Hill #140                               www.becoming-mom.org/services/counseling/,,,
,,,,,,,
,,,,,,,
,,,,,,,
Family Tree Program,Various,"FAMILIES, short-term family counseling, Spanish counseling available","Free;                                                              Families must have at least 1 child under 17, youth cannot be adjudicated","(888) 837-0666 ext. 7 Locations in Dallas, Farmers Branch, Grand Prairie, Garland, Richardson & Duncanville. www.familytreeprogram.org",,,
,,,,,,,
,,,,,,,
Dallas County,,,,,,,
,,,,,,,
,,,,,,,
Legacy Assessment Group,"Dallas, TX","ALL, psychological evaluations, including those required for child custody disputes",Private insurance or self-pay only;                      Must schedule appointment,1341 W Mockingbird Ln Suite #76  (214) 760-1964 www.legacypsychology.com/,,,
,,,,,,,
Solace Counseling,"Dallas, TX","ALL, individual, family counseling, dual diagnosis treatment, intensive outpatient program, ",,"1475 Prudential Dr Dallas, TX 75235             (214) 522-4640",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Denton County,,,,,,,
Children's Advocacy Center of Denton County,"Lewisville, TX","ABUSED CHILDREN & NON-OFFENDING FAMILY MEMBERS, individual, group, & play therapy, Spanish counseling available",Free,1854 Cain Drive            (972) 317-2818 www.cacdc.org,,,
,,,,,,,
,,,,,,,
Family Tree Program,"Denton & Lewisville, TX","FAMILIES, short-term family counseling, Spanish counseling available","Free;                             Families must have at least 1 child under 17, youth cannot be adjudicated",(888) 837-0666 ext 2 Lewisville:                       326 S. Edmonds #103 Denton:                       1614 Scripture St. #200  www.familytreeprogram.org,,,
,,,,,,,
TWU Counseling & Family Therapy Clinic,"Denton, TX","ALL, individual, family, & couples counseling, play therapy, creative arts therapy for adolescents & adults","Sliding scale, $15-35 sessions"," TWU Counseling and Family Therapy Clinic
Human Development Building, Room #114
(940) 898-2600 www.twu.edu/family-sciences/counseling-family-therapy-clinic.asp",,,
,,,,,,,
,,,,,,,
Youth & Family Services,"Denton & Lewisville, TX","ALL, individual, couples, & family counseling, play therapy","Sliding-scale, as low as $30; Call for info",(972) 724-2005 Lewisville:                       105 Kathryn Dr. #3A Denton:                       1980 E. University Dr. www.youthandfamilycounseling.org/,,,
,,,,,,,
Misc. Counties,,,,,,,
Legacy Assessment Group,"Fort Worth, TX (Tarrant County)","ALL, psychological evaluations, including those required for child custody disputes",Private insurance or self-pay only;                      Must schedule appointment,100 E 15th Street #310  (214) 760-1964 www.legacypsychology.com/,,,
,,,,,,,
Lena Pope,"Fort Worth, TX (Tarrant County)","CHILDREN & FAMILIES, counseling and play therapy","Private insurance, CHIP, Medicaid, & low-income financial assistance",3200 Sanguinet Street (817) 255-2500 www.lenapope.org/lena-pope/services/family-matters-counseling/,,,
,,,,,,,
UTA Center for Clinical Social Work,"Arlington, TX (Tarrant County)","ALL, individual, group, & family counseling","Appointments            Mon-Thurs, 3-9 PM  Sliding scale $10-25: Complete referral online, AISD students: Free with referral from school counselor",301 S. Center St. #310 (817) 272-2165 www.uta.edu/ssw/research/centers/ccsw/index.php,,,
