Collin County,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Dallas County,,,,
,,,,
,,,,
,,,,
,,,,
Need A Break,"Dallas, TX","WOMEN & CHILDREN, access to shelter & assistance with housing, counseling, parenting, childcare, financial & transportation assistance",Hotline:   1-800-458-5369 office contact: 1-800-458-5369, PO Box 764203 www.needabreakinc.org/default.html
,,,,
,,,,
Salvation Army Domestic Violence Program,"Dallas, TX","WOMEN & CHILDREN, emergency shelter, counseling, legal services, case management", 24 Hour Crisis Line:                                (214) 424-7208,"5302 Harry Hines Blvd.
(214) 424-7050"
,,,,
Denton County,,,,
Johnson Family Crisis ,,,817-641-2332,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Misc. Counties,,,,
Grayson Crisis Center,"Sherman, TX (Grayson County)","WOMEN & CHILDREN, emergency shelter, counseling, medical, housing, employment, & legal assistance for DV or sexual assault","24 Hour Crisis Line:                                 (903) 893-5615
or 1-(800) 259-3909",4200 N. Travis St.     (903) 893-5615  graysoncrisiscenter.org
,,,,
,,,,
Women In Need,"Greenville & Rockwall, TX (Hunt & Rockwall County) ","MEN, WOMEN, & CHILDREN, emergency shelter, counseling, legal services, aftercare",24 Hour Crisis Line: (903) 454-HELP                                 text: 972-591-7233,Hunt County:             (903) 455-4612                     Rockwall County:      (972) 972-3000 www.wintexas.org/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
The Gatehouse,"Grapevine, Tx","women & children, TLP, faith-based community, 21+, attempting to recover from abuse, divorce, or unemployment",817-912-0317,"670 westport pkwy grapevine, tx    gatehousegrapevine.com"
,,,,
,,,,
,,,,
,,,,
,,,,
