General Health,,,,
,,,,
Baylor Hospital ,"Dallas, TX",,,"3501 Junius St Dallas,TX (214) 820-0111"
,,,,
Parkland Hospital ,"Dallas, TX","Northstar
Medicaid
Medicare",Free,"4811 Harry Hines
Dallas, TX 75235
(214) 590-0153"
,,,,
Cornerstone Care Center (Free),"Dallas, TX","Dental extractions
Eye glass clinic (4th Saturdays)
Medical Outreach (Tuesdays)
",,"2711 S Ervay St
Dallas, TX 75215
(214) 426 5468 
"
,,,,
QuestCare Clinic ,"Dallas, TX","$10 donation
Acute illness
Sports physicals
",,"9780 LBJ Fwy
Dallas, TX 75243
(469) 317-0028
"
,,,,
,,,,
Dallas County         ,,,,
AIDS & HIV,,,,
,,,,
AIDS Interfaith Network,"Dallas, TX",Care & Prevention,,"
2707 N Stemmons Fwy, Suite 120 
Dallas, TX 75207 
(214) 943-4444
"
,,,,
,,,,
,,,,
CHILDREN,,,,
